0, 1, -3, 1, 3
1, 1, -3, 1, 3
2, 2, -7.5, 2, 7.5
3, 2, -7.5, 2, 7.5
4, 1, -6, 1, 6
5, 1, -15, 1, 15
6, 2, -15.0, 2, 15.0
7, 2, -75.0, 2, 75.0
8, 1, -15, 1, 15
9, 2, -15.0, 2, 15.0
